VERSION,CAMERA_NUMBER,VIDEO_NAME,FRAMENUMBER,CLASS,SCORE_CLASS,X1_ORGAN,Y1_ORGAN,X2_ORGAN,Y2_ORGAN,AREA_CLASS,FEATURE,SCORE_FEATURE,AREA_FEATURE
2023-06-05,CAM7,CAM7_20220203_092129.avi,168,Tail,0.95,143.0,1114.0,249.0,1265.0,16006.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,169,Tail,0.95,130.0,1119.0,242.0,1243.0,13888.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,170,Tail,0.95,122.0,1121.0,238.0,1230.0,12644.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,171,Tail,0.96,123.0,1126.0,244.0,1237.0,13431.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,172,Tail,0.94,132.0,1123.0,256.0,1257.0,16616.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,173,Tail,0.95,154.0,1124.0,272.0,1268.0,16992.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,174,Tail,0.95,181.0,1121.0,291.0,1267.0,16060.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,175,Tail,0.96,207.0,1121.0,314.0,1262.0,15087.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,176,Tail,0.97,237.0,1123.0,337.0,1251.0,12800.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,177,Tail,0.97,259.0,1122.0,363.0,1251.0,13416.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,178,Tail,0.97,281.0,1124.0,385.0,1254.0,13520.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,179,Tail,0.96,309.0,1124.0,408.0,1263.0,13761.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,180,Tail,0.91,339.0,1124.0,432.0,1264.0,13020.0,None,0.0,0.0
